title,author,length
The Woman Inside,Anna-Lou Weatherley,Length: 11 hrs and 19 mins
Delete the Adjective,Lisa Jaster,Length: 6 hrs and 2 mins
Destiny of a Prince,R.K. Lander,Length: 29 hrs and 52 mins
Healing Hearts at Bumblebee Barn,Jessica Redland,Length: 9 hrs and 21 mins
People vs. Donald Trump,Mark Pomerantz,Length: 9 hrs and 16 mins
Twisted Love,Ana Huang,Length: 10 hrs and 41 mins
Butterfly 4,Ashley Antoinette,Length: 11 hrs and 18 mins
The Smartest Guys in the Room,Bethany McLean,Length: 22 hrs and 30 mins
Red Mars,Kim Stanley Robinson,Length: 23 hrs and 51 mins
Hawaii,"James A. Michener,Steve Berry - introduction",Length: 51 hrs and 56 mins
Empire of the Summer Moon,S. C. Gwynne,Length: 15 hrs and 9 mins
It's One of Us,J.T. Ellison,Length: 11 hrs and 38 mins
The Critic's Daughter,Priscilla Gilman,Length: 11 hrs and 10 mins
The Auction,Maggie Cole,Length: 9 hrs and 54 mins
Archer's Voice,Mia Sheridan,Length: 11 hrs and 7 mins
The Psychopath Test,Jon Ronson,Length: 7 hrs and 33 mins
Unfu*k Yourself,Gary John Bishop,Length: 3 hrs and 24 mins
Lasher,Anne Rice,Length: 28 hrs and 30 mins
Dear Body,Brittany Williams,Length: 7 hrs and 9 mins
Second Coming,J.A. Konrath,Length: 7 hrs and 49 mins
The Night of the Party,Anna-Lou Weatherley,Length: 10 hrs and 12 mins
The Power of Intention,Dr. Wayne W. Dyer,Length: 4 hrs and 27 mins
Beyond Rosy Irish Twilight,Ava Miles,Length: 4 hrs and 30 mins
On the Road,Jack Kerouac,Length: 11 hrs and 8 mins
Counterstrike,Joshua Dalzelle,Length: 8 hrs and 13 mins
Salt Sugar Fat,Michael Moss,Length: 14 hrs and 34 mins
Big Little Lies,Liane Moriarty,Length: 15 hrs and 55 mins
A Little Life,Hanya Yanagihara,Length: 32 hrs and 51 mins
A Hacker's Mind,Bruce Schneier,Length: 8 hrs and 3 mins
The Sacred Mushroom and the Cross,John M. Allegro,Length: 10 hrs and 33 mins
The Ink Black Heart,Robert Galbraith,Length: 32 hrs and 42 mins
The Confidence Code,"Katty Kay,Claire Shipman",Length: 6 hrs and 45 mins
Oryx and Crake,Margaret Atwood,Length: 10 hrs and 30 mins
A Clockwork Orange,Anthony Burgess,Length: 7 hrs and 44 mins
"Tinker, Tailor, Soldier, Spy",John le Carré,Length: 12 hrs and 49 mins
Greenblood,Actus,Length: 11 hrs and 47 mins
The Day the World Came to Town,Jim DeFede,Length: 6 hrs and 28 mins
The Emotionally Healthy Leader,Peter Scazzero,Length: 10 hrs and 54 mins
The Undoing Project,Michael Lewis,Length: 10 hrs and 18 mins
Centennial,James A. Michener,Length: 50 hrs and 13 mins
A New Earth,Eckhart Tolle,Length: 9 hrs and 12 mins
The Easy Way to Stop Smoking,Allen Carr,Length: 5 hrs and 59 mins
In Order to Live,Yeonmi Park,Length: 9 hrs and 37 mins
The Warmth of Other Suns,Isabel Wilkerson,Length: 22 hrs and 40 mins
Eleanor Oliphant Is Completely Fine,Gail Honeyman,Length: 11 hrs and 2 mins
Yes Please,Amy Poehler,Length: 7 hrs and 31 mins
Alexander Hamilton,Ron Chernow,Length: 35 hrs and 58 mins
Wild at Heart,John Eldredge,Length: 8 hrs and 20 mins
The Cuckoo's Calling,Robert Galbraith,Length: 15 hrs and 54 mins
The Tipping Point,Malcolm Gladwell,Length: 8 hrs and 34 mins
Fear,Thích Nhất Hạnh,Length: 4 hrs and 18 mins
Eclipse,Stephenie Meyer,Length: 16 hrs and 26 mins
The Seven Spiritual Laws of Success,Deepak Chopra MD,Length: 1 hr and 26 mins
No Excuses!,Brian Tracy,Length: 6 hrs and 51 mins
Grant,Ron Chernow,Length: 48 hrs and 2 mins
Leonardo da Vinci,Walter Isaacson,Length: 17 hrs and 1 min
The Making of the Atomic Bomb,Richard Rhodes,Length: 37 hrs and 16 mins
The Meaning of Marriage,Timothy Keller,Length: 8 hrs and 15 mins
The Ramona Quimby Audio Collection,"Beverly Cleary,Tracy Dockray",Length: 18 hrs and 56 mins
Bringing Up Bébé,Pamela Druckerman,Length: 9 hrs and 8 mins
"Many Lives, Many Masters",Brian L. Weiss M.D.,Length: 1 hr and 28 mins
The Speed of Trust,Stephen M. R. Covey,Length: 12 hrs and 13 mins
Charlie and the Chocolate Factory,Roald Dahl,Length: 3 hrs and 18 mins
Song of Solomon,Toni Morrison,Length: 15 hrs and 28 mins
Feeling Good,David D. Burns MD,Length: 13 hrs and 20 mins
A Walk in the Woods,Bill Bryson,Length: 9 hrs and 44 mins
A Villains Collection,Serena Valentino,Length: 12 hrs and 52 mins
Starship Troopers,Robert A. Heinlein,Length: 9 hrs and 52 mins
Earthman Sentinel,"Jack Porter,Danny Kade",Length: 7 hrs and 45 mins
The Lords of Discipline,Pat Conroy,Length: 19 hrs and 23 mins
Song of Solomon,Toni Morrison,Length: 15 hrs and 28 mins
A Walk in the Woods,Bill Bryson,Length: 9 hrs and 44 mins
A Villains Collection,Serena Valentino,Length: 12 hrs and 52 mins
Earthman Sentinel,"Jack Porter,Danny Kade",Length: 7 hrs and 45 mins
The Lords of Discipline,Pat Conroy,Length: 19 hrs and 23 mins
Death's Cathedral,"Ian Fortey,Ron Ripley",Length: 7 hrs and 26 mins
Smoky Darling,S.J. Tilly,Length: 11 hrs and 5 mins
Wild Ever After,Rebecca Jenshak,Length: 8 hrs and 13 mins
DEO's Financial Secrets to Grow Dental Organizations,"Ken Kaufman,Ashley Kaufman",Length: 11 hrs and 52 mins
Positive Affirmations for Black Men,Alexandra Adams,Length: 5 hrs and 30 mins
The Devine Doughnut Shop,Carolyn Brown,Length: 8 hrs and 20 mins
Just Friends,Jennifer Sucevic,Length: 7 hrs and 45 mins
Legends & Lattes,Travis Baldree,Length: 7 hrs and 19 mins
A Place to Land,Lauren K. Denton,Length: 8 hrs and 57 mins
Forsaken Country,Allen Eskens,Length: 11 hrs and 9 mins
Ryan Redemption,Sadie Kincaid,Length: 6 hrs and 53 mins
"If This Book Exists, You're in the Wrong Universe","Jason Pargin,David Wong",Length: 14 hrs and 25 mins
Spells and Slip-ups,Annie Anderson,Length: 6 hrs and 28 mins
The Shop Around the Corner,Anne-Marie Meyer,Length: 6 hrs and 40 mins
The Anxious Hearts Guide,Rikki Cloos,Length: 5 hrs and 33 mins
Edin,Lily Mayne,Length: 13 hrs and 17 mins
Monstar Saga,Eden Redd,Length: 14 hrs and 38 mins
The Scythian Empire,Christopher I. Beckwith,Length: 7 hrs and 58 mins
Empath And Narcissist,Lisa Kennedy,Length: 20 hrs and 32 mins
Confederacy of Fear,Blaine Pardoe,Length: 15 hrs and 15 mins
Zen and the Art of Motorcycle Maintenance (Dramatised),"Robert M. Pirsig,Peter Flannery",Length: 1 hr and 40 mins
The Sun Also Rises,"Ernest Hemingway,Colm Toibin",Length: 7 hrs and 46 mins
Scrum,"Jeff Sutherland,J.J. Sutherland",Length: 6 hrs and 43 mins
The 13th God,Edward W. Robertson,Length: 22 hrs and 38 mins
I Got You,Miss Jenesequa,Length: 12 hrs and 3 mins
Russia's War on Everybody,Keir Giles,Length: 9 hrs and 47 mins
The Resurgence of Patriots,Ryan Schow,Length: 10 hrs and 31 mins
The Inmate,Freida McFadden,Length: 8 hrs and 5 mins
Divorcing a Narcissist,"Supriya McKenna,Karin Walker",Length: 14 hrs and 1 min
The Bookstore Sisters,Alice Hoffman,Length: 1 hr and 6 mins
The Wind-Up Bird Chronicle,Haruki Murakami,Length: 26 hrs and 11 mins
The Scapegoat,Daphné du Maurier,Length: 13 hrs and 5 mins
The Magic,Rhonda Byrne,Length: 4 hrs and 45 mins
Foster,Claire Keegan,Length: 1 hr and 26 mins
The River Knows,Amanda Quick,Length: 10 hrs and 18 mins
Edin,Lily Mayne,Length: 13 hrs and 17 mins
Monstar Saga,Eden Redd,Length: 14 hrs and 38 mins
The Scythian Empire,Christopher I. Beckwith,Length: 7 hrs and 58 mins
Empath And Narcissist,Lisa Kennedy,Length: 20 hrs and 32 mins
Confederacy of Fear,Blaine Pardoe,Length: 15 hrs and 15 mins
Zen and the Art of Motorcycle Maintenance (Dramatised),"Robert M. Pirsig,Peter Flannery",Length: 1 hr and 40 mins
The Sun Also Rises,"Ernest Hemingway,Colm Toibin",Length: 7 hrs and 46 mins
Scrum,"Jeff Sutherland,J.J. Sutherland",Length: 6 hrs and 43 mins
The 13th God,Edward W. Robertson,Length: 22 hrs and 38 mins
I Got You,Miss Jenesequa,Length: 12 hrs and 3 mins
Russia's War on Everybody,Keir Giles,Length: 9 hrs and 47 mins
The Resurgence of Patriots,Ryan Schow,Length: 10 hrs and 31 mins
The Inmate,Freida McFadden,Length: 8 hrs and 5 mins
Divorcing a Narcissist,"Supriya McKenna,Karin Walker",Length: 14 hrs and 1 min
The Bookstore Sisters,Alice Hoffman,Length: 1 hr and 6 mins
The Wind-Up Bird Chronicle,Haruki Murakami,Length: 26 hrs and 11 mins
The Scapegoat,Daphné du Maurier,Length: 13 hrs and 5 mins
The Magic,Rhonda Byrne,Length: 4 hrs and 45 mins
Foster,Claire Keegan,Length: 1 hr and 26 mins
The River Knows,Amanda Quick,Length: 10 hrs and 18 mins
title,author,length,User-Agent
A Game of Malice and Greed,"Caroline Peckham,Susanne Valenti",Length: 25 hrs and 50 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Two Weeks Notice,Amy Porterfield,Length: 7 hrs and 38 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Never Shall I Fail,"Jason Anspach,Nick Cole",Length: 11 hrs and 15 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Toe the Line,Penelope Ward,Length: 8 hrs and 9 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Dirty Thirty,Janet Evanovich,Length: 8 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
"Portal to Nova Roma: The Rhine, Book 3",J.R. Mathews,Length: 25 hrs and 24 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Payback in Death,J. D. Robb,Length: 13 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Rise of the Weakest Summoner: Volumes I-III Omnibus,J. R. Saileri,Length: 28 hrs and 43 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
The New Guy,Sarina Bowen,Length: 9 hrs and 49 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Stain,Neven Iliev,Length: 16 hrs and 33 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
I Will Find You,Harlan Coben,Length: 10 hrs and 16 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
The Lord Ruler,Alvin Atwater,Length: 17 hrs and 39 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Mark of the Fool 3,J.M. Clarke,Length: 22 hrs and 51 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
In the Frame,"Matthew Costello,Neil Richards",Length: 3 hrs and 10 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
The Medici Manuscript,C.J. Archer,Length: 7 hrs and 59 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Powerless,Elsie Silver,Length: 10 hrs and 25 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
How to Defy a Vampire,Alice Winters,Length: 9 hrs and 52 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Poison Roses,"Tate James,Jaymin Eve",Length: 8 hrs and 25 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Empath And Narcissist,Lisa Kennedy,Length: 20 hrs and 32 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Reclusive Mage,Inadvisably Compelled,Length: 12 hrs and 27 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Lies of My Monster,Rina Kent,Length: 8 hrs and 20 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Never Marry Your Brother's Best Friend,Lauren Landish,Length: 11 hrs and 25 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
In a Jam,Kate Canterbary,Length: 15 hrs and 54 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Feeling Forever,Albany Walker,Length: 7 hrs and 2 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
One for the Ages,JD Kirk,Length: 11 hrs and 32 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Annoyed at First Sight,Lani Lynn Vale,Length: 5 hrs and 41 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
The Path of Ascension 2,C. Mantis,Length: 17 hrs and 38 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Saffron Wilds,Kai Butler,Length: 12 hrs and 48 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Until You,K. Bromberg,Length: 8 hrs and 27 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
The Secret Life of Sunflowers,"Marta Molnar,Dana Marton",Length: 9 hrs and 52 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Prince of Lies,Lucy Lennox,Length: 10 hrs and 26 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Deracine Sun,"J.N. Chaney,M.F. Lerma",Length: 8 hrs and 2 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Only the Dead,Jack Carr,Length: 12 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Beg for It,Alexis Winter,Length: 7 hrs and 32 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Blood Lovers,JA Huss,Length: 11 hrs and 9 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
How to Save the West,Spencer Klavan,Length: 6 hrs and 33 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Resurrection Walk,Michael Connelly,Length: 12 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Lunatic,Onley James,Length: 7 hrs and 49 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
The Sceptic,Lily Morton,Length: 11 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
The Housemaid's Secret,Freida McFadden,Length: 9 hrs and 44 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Cannon,Sawyer Bennett,Length: 7 hrs and 44 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Don't Let Me Break,Kelsie Rae,Length: 10 hrs and 19 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Optimize Your Health with Therapeutic Peptides,Jay Campbell,Length: 3 hrs and 1 min,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
UFO of God,Chris Bledsoe,Length: 7 hrs and 52 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
My So-Called Sex Life,Lauren Blakely,Length: 8 hrs and 2 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
The Obstacle Is the Way,Ryan Holiday,Length: 4 hrs and 38 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Twisted Secrets,Rachel Leigh,Length: 8 hrs and 44 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
A Praying Church,"Paul E. Miller,Dane C. Ortlund",Length: 7 hrs and 28 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Their Resting Place,B.R. Spangler,Length: 7 hrs and 59 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Change Your Brain Every Day,Daniel Amen,Length: 15 hrs and 8 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
They're Lying,Liz Collin,Length: 5 hrs and 20 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Foul Play,Helena Marchmont,Length: 2 hrs and 57 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Whiskey Lies,Brittanee Nicole,Length: 11 hrs and 48 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
A Score to Settle,"Matthew Costello,Neil Richards",Length: 3 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Psalm 91: God's Umbrella of Protection,Peggy Joyce Ruth,Length: 4 hrs and 2 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Pineapple Street,Jenny Jackson,Length: 8 hrs and 32 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Death on Deck,Verity Bright,Length: 8 hrs and 55 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Code Red,"Vince Flynn,Kyle Mills",Length: 9 hrs and 30 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
When a Moth Loved a Bee,Pepper Winters,Length: 24 hrs and 27 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Evangelical Pharisees,Michael Reeves,Length: 3 hrs and 16 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
"A sus órdenes, mi general [At Your Command, My General]",J. Jesús Esquivel,Length: 4 hrs and 45 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Because I'm Yours,Claire Contreras,Length: 9 hrs and 10 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Fateless: Book One,Martin McKenzie,Length: 18 hrs and 58 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Grandmaster Arcanist,Shami Stovall,Length: 15 hrs and 13 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Destiny of a Prince,R.K. Lander,Length: 29 hrs and 52 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Can't Say Goodbye,Eden Finley,Length: 8 hrs and 5 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Satan's Affair,H. D. Carlton,Length: 5 hrs and 47 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Rise of the Fourth Reich,"Steve Deace,Daniel Horowitz",Length: 11 hrs and 23 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
The White Pill,Michael Malice,Length: 9 hrs and 11 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Roots,Alex Haley,Length: 27 hrs and 36 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Lucky in Lace,Melissa Brayden,Length: 11 hrs and 2 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Death's Cathedral,"Ian Fortey,Ron Ripley",Length: 7 hrs and 26 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Oscar Wars,Michael Schulman,Length: 21 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Confrontations,Jacques Vallee,Length: 8 hrs and 37 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Unbroken Bonds,J Bree,Length: 10 hrs and 49 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Unleashed,Joshua Dalzelle,Length: 8 hrs and 27 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Family Gatherings at Promise Lodge,Charlotte Hubbard,Length: 9 hrs and 11 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Opening Closed-Guard,Robert Drysdale,Length: 13 hrs and 21 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Fraser,Susan May Warren,Length: 8 hrs and 38 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Nuclear War Survival,"David Kobler,JD Dutra",Length: 1 hr and 19 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Throttled,Lauren Asher,Length: 10 hrs and 21 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Esrahaddon,Michael J. Sullivan,Length: Not Yet Known,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Dismount,Lucia Franco,Length: 13 hrs and 24 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
Quantum Radio,A.G. Riddle,Length: 14 hrs and 59 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
A Match in the Making,Jen Turano,Length: 10 hrs and 4 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
