title,author,length
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide 9th Edition,"Mike Chapple,James Michael Stewart,Darril Gibson",Length: 65 hrs and 38 mins
Modern Magick,Donald Michael Kraig,Length: 26 hrs and 41 mins
Smoke Screen,Bradley Wright,Length: 6 hrs and 49 mins
Monroe Doctrine: Volume VI,"James Rosone,Miranda Watson",Length: 9 hrs and 54 mins
Lanegan,Greg Prato,Length: 8 hrs and 57 mins
All of Me: The Complete Series,Siobhan Davis,Length: 36 hrs and 17 mins
The Final Nephilim,Ryan Pitterson,Length: 17 hrs and 27 mins
Alt System,Tom Larcombe,Length: 13 hrs and 25 mins
Gray Tidings,Hailey Edwards,Length: 8 hrs and 42 mins
The Rock of Battle,Peter Nealen,Length: 11 hrs and 27 mins
Never Lie,Freida McFadden,Length: 7 hrs and 22 mins
Slip Runner,"J.N. Chaney,M.F. Lerma",Length: 8 hrs and 18 mins
Primer and Punishment,Diane Kelly,Length: 7 hrs and 22 mins
Star Wars Jedi: Battle Scars,Sam Maggs,Length: 10 hrs and 28 mins
Why We Forget and How to Remember Better,"Andrew E. Budson MD,Elizabeth A. Kensinger PhD,Daniel L. Schacter PhD - foreword",Length: 12 hrs and 7 mins
Guarding Evelyn,Erin Zak,Length: 10 hrs and 36 mins
Jim Bridger,Jerry Enzler,Length: 13 hrs and 41 mins
The Mistress Next Door,Lesley Sanderson,Length: 8 hrs and 22 mins
Christ-Centered Dating,Mark Ballenger,Length: 6 hrs and 38 mins
The Book Spy,Alan Hlad,Length: 11 hrs and 23 mins
Stick Shift,K.M. Neuhold,Length: 6 hrs and 38 mins
"Hartman's Nursing Assistant Care: The Basics, 6th Edition","Jetta Fuzy MS RN,Hartman Publishing Inc.",Length: 17 hrs and 25 mins
Forest of Foes,Matthew Harffy,Length: 14 hrs and 28 mins
Asking Better Questions of the Bible,Marty Solomon,Length: 4 hrs and 33 mins
Happy Place,Emily Henry,Length: Not Yet Known
Heart of Sherwood,Edale Lane,Length: 13 hrs and 54 mins
Promise Me Always,A.L. Jackson,Length: 12 hrs and 37 mins
Dragon,Kat Blackthorne,Length: 10 hrs and 14 mins
Change Your Brain Every Day,Daniel Amen,Length: 15 hrs and 8 mins
Children of Memory,Adrian Tchaikovsky,Length: 13 hrs and 27 mins
Carnage,Sarah Bailey,Length: 9 hrs and 40 mins
Jungle World,B.V. Larson,Length: 13 hrs and 59 mins
The Big Fix,Mary Calmes,Length: 8 hrs and 31 mins
When She Unravels,Gabrielle Sands,Length: 10 hrs and 19 mins
It's Our Turn Now,Mario Murilo,Length: 7 hrs and 15 mins
The Maltese Iguana,Tim Dorsey,Length: 9 hrs and 50 mins
Ghostly Game,Christine Feehan,Length: 11 hrs and 15 mins
The 6 Types of Working Genius,Patrick M. Lencioni,Length: 4 hrs and 11 mins
The Return of the Gods,Jonathan Cahn,Length: 8 hrs and 34 mins
Escaping Enemy Mode,"E. James Wilder,Ray Woolridge",Length: 9 hrs and 31 mins
The Ravenglass Chronicles: Complete Omnibus,Jon Cronshaw,Length: 40 hrs and 58 mins
The Big Myth,"Naomi Oreskes,Erik M. Conway",Length: 21 hrs and 27 mins
The Silence of Unworthy Gods,Andrew Rowe,Length: 20 hrs and 43 mins
